"name","licenseId","isOsiApproved","isFsfLibre","reference"
"Boehm-Demers-Weiser GC License","Boehm-GC","","","https://spdx.org/licenses/Boehm-GC.html"
"Boehm-Demers-Weiser GC License (without fee)","Boehm-GC-without-fee","","","https://spdx.org/licenses/Boehm-GC-without-fee.html"
"Buena Onda License Agreement v1.1","BOLA-1.1","","","https://spdx.org/licenses/BOLA-1.1.html"
"Borceux license","Borceux","","","https://spdx.org/licenses/Borceux.html"
"Brian Gladman 2-Clause License","Brian-Gladman-2-Clause","","","https://spdx.org/licenses/Brian-Gladman-2-Clause.html"
"Brian Gladman 3-Clause License","Brian-Gladman-3-Clause","","","https://spdx.org/licenses/Brian-Gladman-3-Clause.html"
"BSD 1-Clause License","BSD-1-Clause","Y","","https://spdx.org/licenses/BSD-1-Clause.html"
"BSD 2-Clause ""Simplified"" License","BSD-2-Clause","Y","Y","https://spdx.org/licenses/BSD-2-Clause.html"
"BSD 2-Clause - Ian Darwin variant","BSD-2-Clause-Darwin","","","https://spdx.org/licenses/BSD-2-Clause-Darwin.html"
"BSD 2-Clause - first lines requirement","BSD-2-Clause-first-lines","","","https://spdx.org/licenses/BSD-2-Clause-first-lines.html"
"BSD 2-Clause FreeBSD License","BSD-2-Clause-FreeBSD","","Y","https://spdx.org/licenses/BSD-2-Clause-FreeBSD.html"
"BSD 2-Clause NetBSD License","BSD-2-Clause-NetBSD","","Y","https://spdx.org/licenses/BSD-2-Clause-NetBSD.html"
"BSD-2-Clause Plus Patent License","BSD-2-Clause-Patent","Y","","https://spdx.org/licenses/BSD-2-Clause-Patent.html"
"BSD 2-Clause pkgconf disclaimer variant","BSD-2-Clause-pkgconf-disclaimer","","","https://spdx.org/licenses/BSD-2-Clause-pkgconf-disclaimer.html"
"BSD 2-Clause with views sentence","BSD-2-Clause-Views","","","https://spdx.org/licenses/BSD-2-Clause-Views.html"
"BSD 3-Clause ""New"" or ""Revised"" License","BSD-3-Clause","Y","Y","https://spdx.org/licenses/BSD-3-Clause.html"
"BSD 3-Clause acpica variant","BSD-3-Clause-acpica","","","https://spdx.org/licenses/BSD-3-Clause-acpica.html"
"BSD with attribution","BSD-3-Clause-Attribution","","","https://spdx.org/licenses/BSD-3-Clause-Attribution.html"
"BSD 3-Clause Clear License","BSD-3-Clause-Clear","","Y","https://spdx.org/licenses/BSD-3-Clause-Clear.html"
"BSD 3-Clause Flex variant","BSD-3-Clause-flex","","","https://spdx.org/licenses/BSD-3-Clause-flex.html"
"Hewlett-Packard BSD variant license","BSD-3-Clause-HP","","","https://spdx.org/licenses/BSD-3-Clause-HP.html"
"Lawrence Berkeley National Labs BSD variant license","BSD-3-Clause-LBNL","Y","","https://spdx.org/licenses/BSD-3-Clause-LBNL.html"
"BSD 3-Clause Modification","BSD-3-Clause-Modification","","","https://spdx.org/licenses/BSD-3-Clause-Modification.html"
"BSD 3-Clause No Military License","BSD-3-Clause-No-Military-License","","","https://spdx.org/licenses/BSD-3-Clause-No-Military-License.html"
"BSD 3-Clause No Nuclear License","BSD-3-Clause-No-Nuclear-License","","","https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License.html"
"BSD 3-Clause No Nuclear License 2014","BSD-3-Clause-No-Nuclear-License-2014","","","https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License-2014.html"
"BSD 3-Clause No Nuclear Warranty","BSD-3-Clause-No-Nuclear-Warranty","","","https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-Warranty.html"
"BSD 3-Clause Open MPI variant","BSD-3-Clause-Open-MPI","Y","","https://spdx.org/licenses/BSD-3-Clause-Open-MPI.html"
"BSD 3-Clause Sun Microsystems","BSD-3-Clause-Sun","","","https://spdx.org/licenses/BSD-3-Clause-Sun.html"
"BSD 3-Clause Tso variant","BSD-3-Clause-Tso","","","https://spdx.org/licenses/BSD-3-Clause-Tso.html"
"BSD 4-Clause ""Original"" or ""Old"" License","BSD-4-Clause","","Y","https://spdx.org/licenses/BSD-4-Clause.html"
"BSD 4 Clause Shortened","BSD-4-Clause-Shortened","","","https://spdx.org/licenses/BSD-4-Clause-Shortened.html"
"BSD-4-Clause (University of California-Specific)","BSD-4-Clause-UC","","","https://spdx.org/licenses/BSD-4-Clause-UC.html"
"BSD 4.3 RENO License","BSD-4.3RENO","","","https://spdx.org/licenses/BSD-4.3RENO.html"
"BSD 4.3 TAHOE License","BSD-4.3TAHOE","","","https://spdx.org/licenses/BSD-4.3TAHOE.html"
"BSD Advertising Acknowledgement License","BSD-Advertising-Acknowledgement","","","https://spdx.org/licenses/BSD-Advertising-Acknowledgement.html"
"BSD with Attribution and HPND disclaimer","BSD-Attribution-HPND-disclaimer","","","https://spdx.org/licenses/BSD-Attribution-HPND-disclaimer.html"
"BSD-Inferno-Nettverk","BSD-Inferno-Nettverk","","","https://spdx.org/licenses/BSD-Inferno-Nettverk.html"
"BSD Mark Modifications License","BSD-Mark-Modifications","","","https://spdx.org/licenses/BSD-Mark-Modifications.html"
"BSD Protection License","BSD-Protection","","","https://spdx.org/licenses/BSD-Protection.html"
"BSD Source Code Attribution - beginning of file variant","BSD-Source-beginning-file","","","https://spdx.org/licenses/BSD-Source-beginning-file.html"
"BSD Source Code Attribution","BSD-Source-Code","","","https://spdx.org/licenses/BSD-Source-Code.html"
"Systemics BSD variant license","BSD-Systemics","","","https://spdx.org/licenses/BSD-Systemics.html"
"Systemics W3Works BSD variant license","BSD-Systemics-W3Works","","","https://spdx.org/licenses/BSD-Systemics-W3Works.html"
"Boost Software License 1.0","BSL-1.0","Y","Y","https://spdx.org/licenses/BSL-1.0.html"
"Buddy License","Buddy","","","https://spdx.org/licenses/Buddy.html"
"Business Source License 1.1","BUSL-1.1","","","https://spdx.org/licenses/BUSL-1.1.html"
"bzip2 and libbzip2 License v1.0.5","bzip2-1.0.5","","","https://spdx.org/licenses/bzip2-1.0.5.html"
"bzip2 and libbzip2 License v1.0.6","bzip2-1.0.6","","","https://spdx.org/licenses/bzip2-1.0.6.html"
"Computational Use of Data Agreement v1.0","C-UDA-1.0","","","https://spdx.org/licenses/C-UDA-1.0.html"
"Cryptographic Autonomy License 1.0","CAL-1.0","Y","","https://spdx.org/licenses/CAL-1.0.html"
"Cryptographic Autonomy License 1.0 (Combined Work Exception)","CAL-1.0-Combined-Work-Exception","Y","","https://spdx.org/licenses/CAL-1.0-Combined-Work-Exception.html"
"Caldera License","Caldera","","","https://spdx.org/licenses/Caldera.html"
"Caldera License (without preamble)","Caldera-no-preamble","","","https://spdx.org/licenses/Caldera-no-preamble.html"
"Common Attack    Pattern Enumeration and Classification License","CAPEC-tou","","","https://spdx.org/licenses/CAPEC-tou.html"
"Catharon License","Catharon","","","https://spdx.org/licenses/Catharon.html"
"Computer Associates Trusted Open Source License 1.1","CATOSL-1.1","Y","","https://spdx.org/licenses/CATOSL-1.1.html"
"Creative Commons Attribution 1.0 Generic","CC-BY-1.0","","","https://spdx.org/licenses/CC-BY-1.0.html"
"Creative Commons Attribution 2.0 Generic","CC-BY-2.0","","","https://spdx.org/licenses/CC-BY-2.0.html"
"Creative Commons Attribution 2.5 Generic","CC-BY-2.5","","","https://spdx.org/licenses/CC-BY-2.5.html"
"Creative Commons Attribution 2.5 Australia","CC-BY-2.5-AU","","","https://spdx.org/licenses/CC-BY-2.5-AU.html"
